"","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$","Current health expenditure (CHE) per capita in US$"
"Countries, territories and areas"," 2021"," 2020"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","81.32","80.29","74.23","71.33","66.91","61.49","60.06","60.19","56.31","52.61","52.36","46.58","43.26","39.97","32.72","28.92","25.11","21.43","17.81","17.01","",""
"Albania","464.74","396.88","367.76","351.30","297.46","277.04","255.36","295.12","278.04","262.29","274.78","255.32","239.44","240.42","212.61","166.81","152.13","138.11","106.29","78.99","73.79","65.15"
"Algeria","204.57","206.04","235.99","266.46","265.84","261.40","292.28","361.16","333.16","336.67","288.31","230.06","208.94","207.85","151.78","117.43","101.30","93.02","76.24","66.95","67.34","62.12"
"Andorra","3505.99","3269.30","3026.60","3164.39","2873.30","2755.45","2688.21","3089.84","3041.84","3013.51","3913.99","3698.81","3025.31","3046.36","2489.43","2139.28","2214.65","1990.07","1772.71","1486.17","1336.21","1287.00"
"Angola","64.16","55.05","64.66","83.90","112.85","94.11","107.64","130.74","142.89","121.80","121.91","96.66","120.03","135.63","92.84","69.77","54.21","49.78","34.87","29.05","28.93","13.00"
"Antigua and Barbuda","923.41","875.70","801.54","849.83","785.47","812.51","784.65","822.39","735.49","749.94","714.00","720.92","606.90","691.21","711.56","662.72","639.24","596.07","612.15","557.90","571.11","519.13"
"Argentina","1044.77","895.08","1016.23","1216.11","1494.84","1258.31","1525.05","1280.61","1415.21","1361.99","1202.56","980.14","781.78","742.90","569.29","453.64","390.80","310.22","260.98","222.65","671.37","704.95"
"Armenia","612.78","551.54","549.47","439.43","418.86","366.23","370.93","408.88","395.71","332.84","324.66","290.27","246.34","259.55","168.48","123.41","94.27","70.64","65.35","58.27","31.41","25.31"
"Australia","7055.37","5958.77","5545.91","5857.29","5813.61","5453.92","5322.97","6131.00","5843.17","6071.65","5909.15","4975.47","4011.93","4107.01","3815.34","3194.03","3014.10","2760.83","2240.75","1763.70","1559.82","1636.53"
"Austria","6504.81","5566.97","5263.39","5337.22","4938.92","4709.88","4612.82","5393.60","5235.34","4966.10","5167.82","4800.79","4928.99","5057.76","4478.77","3882.98","3710.40","3594.65","3091.24","2497.87","2282.52","2269.13"
"Azerbaijan","249.08","242.76","196.88","178.04","165.31","167.86","233.61","277.04","248.80","231.90","182.90","151.57","134.31","111.17","74.24","49.58","34.12","26.98","23.45","20.34","19.12","18.98"
